Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
EQR,57.5,90.54,UP,23721233094,Real Estate,1.14B,2.68B,2400,2.60,19.73,-,8.46,2.05,47.52,0.68,3.05,94.00%,10.50%,8.60%,42.60%,375.85M,0.78
EQT,13.41,22.04,UP,15437954970,Energy,1.86B,7.86B,693,1.90,9.61,-,2.12,1.70,8.21,0.50,4.60,99.20%,20.20%,-6.00%,23.70%,369.99M,1.16
ERJ,6.32,17.71,UP,1940274410,Industrials,-4.10M,3.94B,15427,2.20,-,-,0.48,0.69,2.74,1.18,-0.02,38.50%,-0.20%,1.80%,-0.10%,183.66M,1.23
ES,84.51,91.14,UP,26385122947,Utilities,1.33B,11.04B,9227,2.60,19.56,3.41,2.33,1.72,-,1.42,3.84,82.10%,9.00%,4.70%,12.00%,345.89M,0.48
ESE,99.98,87.9,DOWN,2226940380,Telecommunications,71.60M,806.50M,2700,1.30,31.96,2.13,2.77,2.20,48.19,0.22,2.75,97.80%,7.00%,5.40%,8.90%,25.86M,1.08
ESI,17.3,24.02,UP,4221078000,Industrials,178.30M,2.62B,5300,2.00,24.42,3.93,1.61,1.88,22.87,0.83,0.72,98.70%,7.40%,5.70%,6.80%,244.70M,1.36
ESNT,42.16,45.56,UP,4278818775,Finance,892.30M,1.05B,349,1.70,4.72,0.60,3.97,0.97,7.94,0.10,8.17,97.10%,21.10%,14.80%,85.00%,106.92M,1.19
ESRT,9.01,8.96,DOWN,1188342746,Real Estate,-19.40M,642.70M,693,2.70,-,-,1.88,1.27,16.43,2.38,-0.12,97.31%,-2.00%,2.40%,-3.00%,167.12M,1.11
ESS,228.25,352.69,UP,14379393377,Real Estate,360.00M,1.56B,1757,2.50,37.94,4.80,8.71,2.39,32.26,1.08,5.52,98.00%,6.10%,-,23.00%,65.06M,0.75
ESTC,141.46,124.78,DOWN,6120282883,Technology,-238.90M,919.40M,3056,1.80,-,-,5.67,12.97,-,1.44,-2.56,82.20%,-56.50%,-18.30%,-26.00%,94.62M,1.04
ESTE,5.65,11.28,UP,1734108433,Energy,161.60M,923.10M,81,2.50,9.61,0.27,2.50,1.01,4.87,0.00,1.71,85.80%,20.80%,21.40%,17.50%,78.29M,2.13
ET,6.1,8.16,UP,39451488715,Utilities,3.74B,81.76B,12558,1.60,9.87,-,0.47,1.44,10.85,1.81,1.25,44.90%,15.00%,11.40%,4.60%,3.09B,1.77
ETD,20.34,26.16,UP,652189117,Consumer Discretionary,113.00M,850.00M,4239,2.30,6.37,0.69,0.82,1.73,21.72,0.00,4.42,89.40%,28.70%,25.30%,13.30%,25.46M,1.15
ETG,17.87,22.67,UP,1235273108,Finance,-11.20M,67.92M,4,-,-,-,62.67,-,-,-,-0.06,16.27%,14.90%,-,-,196.85M,1.24
ETN,118.75,171.42,UP,59892371000,Industrials,2.31B,19.78B,85947,2.20,27.50,2.70,3.16,3.86,439.70,0.59,5.76,84.50%,13.60%,9.20%,11.20%,399.00M,1.15
ETR,98.01,111.64,UP,21677035219,Utilities,1.23B,12.35B,12369,2.10,17.96,2.90,1.77,1.88,15.28,2.29,6.04,92.50%,10.60%,4.30%,9.90%,203.38M,0.62
ETRN,7.74,10.09,UP,3644016020,Energy,-1377.80M,1.26B,766,2.70,-,-,3.02,2.32,6.73,0.00,-3.18,95.00%,-72.30%,-11.70%,-,433.33M,1.98
ETWO,10.79,11.47,UP,1733430051,Technology,-383.00M,602.20M,3682,2.00,-,-,2.74,0.60,-,0.39,-1.26,-,-12.60%,-2.10%,-63.60%,302.25M,-
EURN,8.48,8.86,UP,3577622022,Consumer Discretionary,-,425.31M,3147,1.70,8.44,-,9.00,1.66,-,-,2.25,33.66%,-,-,-,201.68M,-
EVC,2.82,6.83,UP,398820874,Consumer Discretionary,26.40M,851.80M,1094,1.70,17.63,-,0.45,1.76,5.52,0.83,0.30,80.70%,10.40%,8.90%,3.10%,84.96M,1.08
