Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
RMED,352.5,81.5,DOWN,7586616,Health Care,-29.60M,0.03M,58,1.50,-,-,136.38,0.24,-,0.00,-145.66,1.50%,-168.10%,-,-,1.09M,0.88
RVP,11.64,7.01,DOWN,81354783,Health Care,31.20M,154.90M,233,-,2.44,-,0.46,0.72,-,0.02,0.92,20.80%,32.30%,54.50%,20.10%,32.95M,2.10
SACH,4.26,5.86,UP,152565688,Real Estate,14.50M,41.00M,19,1.30,8.10,0.18,3.43,0.64,10.33,1.48,0.45,15.30%,7.80%,3.40%,35.30%,38.53M,1.42
SBEV,3.32,1.17,DOWN,47712841,Consumer Staples,-30.00M,14.30M,21,2.00,-,-,3.27,3.74,-,0.15,-0.91,5.80%,-268.30%,-224.10%,-,36.67M,1.13
SDPI,0.6,0.74,UP,21359244,Industrials,0.70M,16.20M,58,2.00,30.59,-,1.35,3.31,-,0.99,0.03,5.60%,12.80%,-5.40%,4.50%,28.23M,0.19
SEB,3119.55,3964.04,UP,4374082251,Industrials,426.00M,10.42B,13200,-,10.48,-,0.42,0.94,-,0.25,367.00,19.10%,-,6.80%,-,1.16M,0.45
SENS,0.93,2.75,UP,551555001,Health Care,318.30M,13.70M,89,2.80,2.03,0.06,38.46,39.33,-,4.13,0.58,28.50%,-242.20%,47.60%,-,464.13M,0.87
SIF,8.72,6.3,DOWN,17424295,Industrials,-5.20M,89.60M,446,-,-,-,0.18,0.35,-,0.36,-0.92,18.40%,-10.90%,0.20%,-5.80%,5.84M,1.26
SSY,1.36,1.62,UP,6117495,Consumer Staples,5.20M,41.80M,1376,-,1.17,-,0.14,0.28,-,0.00,0.72,16.20%,23.20%,29.10%,12.10%,6.95M,1.06
STXS,5.16,6.22,UP,138361637,Health Care,-18.50M,30.50M,130,2.10,-,-,4.30,4.54,-,0.00,-0.24,50.10%,-56.70%,-31.70%,-60.70%,75.95M,1.62
SVT,8.06,12.77,UP,26056412,Consumer Discretionary,1.80M,43.90M,268,-,14.56,-,0.63,0.78,68.88,0.02,0.77,16.50%,5.10%,10.70%,4.20%,2.43M,0.68
TELL,1.28,2.99,UP,1488397217,Energy,-123.80M,245.50M,107,2.50,-,-,6.82,2.45,-,0.91,-0.26,46.40%,-25.30%,-21.30%,-50.40%,534.52M,2.26
TKAT,1.32,4.31,UP,28262946,Consumer Discretionary,-13.60M,0.81M,7,-,-,-,22.57,0.70,-,0.00,-0.78,1.10%,-,-480.30%,-,23.04M,2.73
TMBR,0.82,0.41,DOWN,8981971,Health Care,-18.40M,0.50M,5,2.00,-,-,17.83,2.95,-,0.00,-0.33,1.30%,-293.40%,-79.80%,-,146.54M,0.02
TMP,69.19,83.31,UP,1208806019,Finance,86.40M,240.70M,969,3.00,14.14,1.77,4.98,1.93,15.35,0.00,5.93,64.00%,12.70%,27.60%,35.90%,14.32M,0.65
TOVX,5,2.84,DOWN,12220524,Health Care,-17.80M,-,16,2.00,-,-,-,0.19,-,0.00,-1.27,7.30%,-26.50%,-,-,15.84M,1.27
TPHS,1.25,1.78,UP,29686098,Real Estate,-14.90M,39.90M,7,-,-,-,0.70,0.63,-,5.50,-0.42,55.30%,-30.30%,-3.40%,-37.20%,37.19M,0.65
TRT,4.03,11.76,UP,20505700,Technology,2.40M,44.10M,501,-,8.16,-,0.44,0.67,38.70,0.10,0.59,23.80%,3.50%,-4.70%,2.20%,3.95M,1.36
UAVS,5.47,1.63,DOWN,46968908,Industrials,-35.70M,15.30M,121,-,-,-,2.78,0.50,-,0.01,-0.46,12.80%,-42.90%,-38.70%,-,81.66M,3.77
