,Symbol,Start,End,Label,Market.Cap,Sector,Income,Sales,Employees,price.to.earnings,Price.Earnings.to.Growth,Price.to.Sales.Ratio,Price.to.Book,Price.to.free.cash.flow,debt.to.equity,EPS..ttm.,Inst.Own,ROE,ROI,Profit.Margin,Shs.Outstand,Beta
1283,SIRE,12.29,16.47,UP,464008102,Industrials,50300000,644100000,499,8.92,0,0.71,2.22,31.28,0.7,2.54,0.061,0.298,0.18,0.091,19800000,0.71
1284,SITC,9.72,15.82,UP,2634086240,Real Estate,187400000,548700000,293,14.05,0,4.75,1.36,56.03,0.94,0.88,0.904,0.099,0.042,0.342,213850000,1.59
1285,SIX,33.19,42.28,UP,1831310715,Consumer Discretionary,135000000,1530000000,1970,13.65,0.9,1.13,0,13.34,0,1.55,0.9873,-0.132,0.215,0.088,84990000,2.2
1286,SJI,21.18,26.12,UP,4258713177,Utilities,166600000,2340000000,1169,23.9,2.66,1.78,1.96,0,1.67,1.42,0.882,0.082,0.054,0.071,122440000,0.62
1287,SJM,115.63,135.34,UP,16010773873,Consumer Staples,586100000,8010000000,6700,27.38,5.33,2,1.95,167.71,0.58,5.45,0.837,0.071,0.064,0.073,106300000,0.25
1288,SJW,68.29,72.67,UP,2136695691,Utilities,58300000,589100000,751,36.33,3.71,3.68,2.02,23.06,1.58,1.93,0.823,0.056,0.04,0.099,30270000,0.66
1289,SKIL,10.39,9.23,DOWN,291878513,Consumer Discretionary,-185400000,612200000,2943,0,0,0.45,0.25,56.96,0.59,-1.18,0.777,-0.16,-0.044,-0.291,164090000,0
1290,SKLZ,18.2,7.62,DOWN,429652774,Technology,-256900000,377700000,650,0,0,1.18,0.85,0,0.56,-0.64,0.487,-0.431,-0.297,-0.68,408160000,0
1291,SKM,40.03,26.88,DOWN,7652728617,Telecommunications,631200000,11980000000,34847,14.52,0,0.66,1,0,0.95,1.39,0.051,0,0.043,0,392430000,0.82
1292,SKT,9.82,19.35,UP,1902702499,Real Estate,42100000,439300000,310,48.02,7.17,4.37,4,14.67,2.85,0.39,0.772,0.088,0.029,0.096,103630000,1.76
1293,SKX,34.87,43.58,UP,5319064031,Consumer Discretionary,699000000,7210000000,6200,8.03,0,0.75,1.63,0,0.1,4.45,0.985,0.237,0.234,0.106,155940000,1.28
1294,SKY,30.01,78.22,UP,3331425989,Consumer Discretionary,322300000,2420000000,8400,8.4,0.21,1.14,2.85,13.28,0.05,5.62,0,0.407,0.287,0.133,56910000,1.93
1295,SLB,21.95,29.82,UP,74175254370,Energy,2980000000,26440000000,92000,26.47,0.6,2.97,4.52,44.32,0.78,2.07,0.829,0.186,0.08,0.113,1420000000,1.89
1296,SLCA,8.97,9.34,UP,1093408329,Industrials,27600000,1400000000,1863,43.26,0,0.8,1.68,8.1,1.69,0.34,0.797,0.044,0.017,0.02,75590000,2.78
1297,SLF,44.19,55.16,UP,24930690168,Consumer Discretionary,2750000000,28230000000,24589,9.45,1.35,0.92,1.38,0,0.26,4.68,0.544,0.147,0.161,0.097,586000000,0.99
1298,SLG,60.76,74.64,UP,2537951234,Real Estate,446800000,805900000,931,5.83,0,3.1,0.54,0,0.89,6.51,0.92,0.097,0.02,0.554,65380000,1.38
1299,SLGN,36.61,42.71,UP,5219806790,Industrials,401300000,6400000000,15600,13.39,2.34,0.84,3.3,32.67,2.51,3.61,0.724,0.236,0.087,0.058,110840000,0.79
1300,SLQT,21.35,9.27,DOWN,112012079,Finance,-297500000,764000000,1857,0,0,0.14,0.28,0,1.8,-1.81,0.632,-0.591,-0.231,-0.389,164430000,0
1301,SM,6.36,29.62,UP,5581740000,Energy,882700000,3470000000,506,7.2,0.09,1.68,2.41,3.55,0.64,6.72,0.922,0.427,0.048,0.255,121910000,4.57
1302,SMAR,68.12,78.82,UP,4554028556,Technology,-222600000,657000000,2539,0,0,5.21,7.1,0,0,-1.74,0.917,-0.452,-0.337,-0.339,129650000,1.26
