"dataset","Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"nyse","NVST",32.95,45.04,"UP",5375548536,"Health Care",237600000,2.54e+09,11200,1.7,26.51,0.64,2.25,1.43,29.69,0.34,1.33,0,0.075,0.059,0.119,162900000,0
"nyse","NVT",22.54,37.64,"UP",6100132045,"Technology",308100000,2.84e+09,9900,2.1,20.8,1.87,2.18,2.39,40.54,0.41,1.83,0.937,0.12,0.084,0.109,166500000,1.39
"nyse","NVTA",43.64,15.66,"DOWN",590517853,"Health Care",-3108600000,500800000,2300,3.3,0,0,1.02,1.45,0,4.14,-13.48,0.849,-1.335,-0.077,0,232120000,1.58
"nyse","NWG",4.58,6.57,"UP",26259163819,"Finance",3.01e+09,1.254e+10,60000,1,9.31,32.1,2.12,0.68,0,1.53,0.59,0.009,0.065,0.057,0.23,4.92e+09,1.22
"nyse","NWN",45.66,48.75,"UP",1670173553,"Utilities",77800000,940800000,1173,2.3,18.04,4.2,1.68,1.35,0,1.11,2.49,0.772,0.079,0.057,0.083,34820000,0.53
"nyse","NX",22.12,24.9,"UP",735634996,"Industrials",5.8e+07,1.21e+09,3860,2,13.04,0.87,0.62,1.66,17.56,0.13,1.74,0.992,0.195,0.067,0.07,3.3e+07,1.4
"nyse","NXRT",41.26,82.74,"UP",1180250791,"Real Estate",25700000,253100000,3,2.1,50.35,10.07,4.45,2.16,0,0,0.89,0.859,0.051,0.01,0.101,25600000,1.05
"nyse","NYCB",10.5,12.21,"UP",4370025525,"Finance",5.64e+08,1.7e+09,2815,2.4,7.34,0,2.45,0.66,134.84,0.1,1.21,0.64,0.088,0.149,0.333,465810000,1.02
"nyse","NYT",49.2,48.22,"DOWN",4801304419,"Consumer Discretionary",1.91e+08,2.2e+09,5000,2.6,29.83,0,2.55,3.69,65.51,0,1.14,0.93,0.127,0.128,0.087,167640000,0.95
"nyse","O",57.97,71.91,"UP",38465811785,"Real Estate",561600000,2.79e+09,367,2.4,59.67,4.23,13.98,1.44,92.08,0.61,1.06,0.819,0.025,0.007,0.201,627150000,0.79
"nyse","OCFT",20.09,2.5,"DOWN",241835001,"Technology",-1.63e+08,6.16e+08,3842,2.6,0,0,0.52,0.67,74.15,0.08,-0.43,0.066,-0.319,-0.271,-0.265,389990000,0
"nyse","OCN",28.3,40.29,"UP",265744520,"Finance",136800000,1.03e+09,5700,2.2,2.5,0.83,0.31,0.62,0,20.05,14.51,0.568,0.174,0.029,0.086,9260000,1.96
