"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"ELVT",3.88,2.99,"DOWN",31978632,"Finance",-63700000,484200000,436,2.5,0,0,0.06,0.17,0.2,2.79,-1.97,0.377,-0.406,0.007,-0.132,31240000,1.9
"EME",89.24,127.42,"UP",6724155916,"Industrials",381500000,1.077e+10,34000,1.4,19.63,19.63,0.63,3.87,18.49,0.23,7.42,0.9994,0.187,0.153,0.035,48870000,1.12
"EMN",98.58,119.7,"UP",9431693184,"Industrials",1.17e+09,1.09e+10,14000,2.6,8.88,3.66,0.86,1.81,523.12,0.94,9.07,0.883,0.21,0.098,0.107,1.21e+08,1.48
"EMR",78.01,92.66,"UP",51147450000,"Industrials",3.23e+09,1.963e+10,86700,2.3,16.84,1.66,2.77,5.24,48.42,1.12,5.42,0.768,0.28,0.15,0.146,592800000,1.43
"ENB",31.97,38.65,"UP",79078148650,"Energy",3.6e+09,3.839e+10,10900,2.3,22.51,5.36,2.11,2,0,1.43,1.77,0.705,0.09,0.049,0.094,2.03e+09,0.81
"ENIC",4.01,1.77,"DOWN",2282496388,"Utilities",197400000,4.25e+09,2248,2.2,13.85,0,0.64,0.84,0,0.87,0.14,0.027,0.06,0.047,0.046,1.38e+09,0.97
"ENLC",3.65,6.8,"UP",5696912650,"Utilities",177200000,8.86e+09,1073,2.7,33.74,0,0.65,4.51,10.98,0,0.36,0.902,0.054,0.069,0.008,4.82e+08,2.58
"ENOV",63.74,79.34,"UP",2675893316,"Industrials",119400000,2.76e+09,16200,2.5,24.26,2.43,1.04,0.83,61.71,0.13,2.19,0.928,0.026,0.026,0.041,54080000,1.87
"ENR",42.24,39.42,"DOWN",2057124373,"Industrials",206500000,3.03e+09,6000,2.5,9.8,2.58,0.68,4.17,0,7.24,2.98,0.868,0.479,0.042,0.068,71300000,1.02
"ENS",81.12,78.65,"DOWN",2663521695,"Consumer Discretionary",1.31e+08,3.44e+09,11400,1.7,21.7,2.17,0.78,1.91,0,0.99,3.1,0.997,0.087,0.063,0.038,40790000,1.36
"ENV",79.88,79.94,"UP",2726725872,"Technology",-30500000,1.26e+09,4375,2.7,0,0,2.01,2.74,15.59,0.91,-0.56,0,-0.032,0.018,-0.024,55200000,1.21
"ENVA",23.06,40.55,"UP",1185194205,"Finance",205200000,1.11e+09,1463,1.8,6.3,0,1.05,1.04,1.59,1.8,5.94,0.964,0.185,0.134,0.185,31910000,1.5
"ENZ",2.66,3.2,"UP",104748976,"Health Care",-18300000,107100000,465,0,0,0,1.01,2,0,0.08,-0.38,0.434,-0.294,-0.255,-0.171,48720000,0.81
"EOG",49.86,89.18,"UP",80446331535,"Energy",5.71e+09,2.211e+10,2800,2,14.97,1.42,3.88,3.81,26.41,0.23,9.75,0.897,0.26,0.177,0.258,586040000,1.54
"EPAC",22.22,20.34,"DOWN",1435994189,"Industrials",19600000,571200000,2200,3.5,80.22,6.58,2.57,4.87,35.96,0.64,0.33,0,0.042,0.054,0.027,59540000,1.42
"EPAM",348.06,673.14,"UP",20012628653,"Technology",366300000,4.46e+09,58824,1.6,51.04,2.56,4.15,6.9,46.69,0.01,6.19,0.96,0.146,0.194,0.082,57240000,1.59
"EPC",34.37,45.69,"UP",2037806734,"Consumer Discretionary",1.09e+08,2.18e+09,6900,2.6,20.05,0,0.95,1.42,39.9,0.93,2,0.983,0.071,0.041,0.05,52500000,0.89
"EPD",19.29,21.7,"UP",55030835225,"Utilities",4.85e+09,5.127e+10,6911,1.8,11.35,1.11,1.07,2.11,19.68,1.11,2.2,0.276,0.179,0.11,0.089,2.18e+09,1.1
"EPR",30.93,47.52,"UP",2898566308,"Real Estate",135600000,612500000,53,2.5,21.61,3.09,4.73,1.14,14.85,1.09,1.81,0.806,0.052,0.043,0.221,74990000,1.6
"EPRT",20.43,28.64,"UP",3058262578,"Real Estate",128100000,277200000,37,2.2,21.78,0.81,10.81,1.19,93.64,0.51,0.98,0.999,0.057,0.041,0.462,142380000,1.35
"EQC",26.94,26.19,"DOWN",2868661626,"Real Estate",6800000,61700000,25,3.5,424.19,0,46.91,1.08,0,0,0.06,0,0.002,-0.008,0.11,111310000,0.26
"EQNR",16.87,26.68,"UP",114319226261,"Energy",1.624e+10,1.2767e+11,21126,2,7.58,1.31,0.94,2.95,4.07,0.81,5.04,0.053,0.405,0.142,0.127,3.19e+09,1.03
